NAIVE,0,1,2,2.44422
NAIVE,0,1,4,1.97211
NAIVE,0,1,8,1.77136
NAIVE,0,1,16,1.79323
NAIVE,0,1,32,1.79946
NAIVE,0,1,64,1.80144
NAIVE,0,1,128,1.79186
NAIVE,0,1,256,2.31206
NAIVE,0,1,512,3.56314
NAIVE,0,1,1024,5.44625
NAIVE,1,2,1,4.78353
NAIVE,1,4,1,2.97723
NAIVE,1,8,1,2.92146
NAIVE,1,16,1,2.64907
NAIVE,1,32,1,2.56626
NAIVE,1,64,1,2.58417
NAIVE,1,128,1,2.55848
NAIVE,1,256,1,2.70727
NAIVE,1,512,1,2.91062
NAIVE,1,1024,1,3.28028
EFFICIENT,0,2,1,54.5562
EFFICIENT,1,1,2,0.739704
EFFICIENT,0,2,4,17.1567
EFFICIENT,1,4,2,0.658754
EFFICIENT,0,2,16,9.17494
EFFICIENT,1,16,2,0.892859
EFFICIENT,0,2,64,4.71685
EFFICIENT,1,64,2,0.705602
EFFICIENT,0,2,256,2.78147
EFFICIENT,1,256,2,1.66805
EFFICIENT,0,2,1024,1.65759
EFFICIENT,1,1024,2,23.9358
EFFICIENT,0,4,1,25.2959
EFFICIENT,1,1,4,0.559995
EFFICIENT,0,4,4,8.21178
EFFICIENT,1,4,4,0.51718
EFFICIENT,0,4,16,4.45486
EFFICIENT,1,16,4,0.598575
EFFICIENT,0,4,64,2.61577
EFFICIENT,1,64,4,0.528998
EFFICIENT,0,4,256,1.57138
EFFICIENT,1,256,4,1.04441
EFFICIENT,0,4,1024,1.28629
EFFICIENT,1,1024,4,12.118
EFFICIENT,0,8,1,12.7945
EFFICIENT,1,1,8,0.475997
EFFICIENT,0,8,4,3.81269
EFFICIENT,1,4,8,0.451655
EFFICIENT,0,8,16,2.17763
EFFICIENT,1,16,8,0.463399
EFFICIENT,0,8,64,1.47613
EFFICIENT,1,64,8,0.436869
EFFICIENT,0,8,256,1.09879
EFFICIENT,1,256,8,0.740824
EFFICIENT,0,8,1024,2.87632
EFFICIENT,1,1024,8,6.33762
EFFICIENT,0,16,1,5.7638
EFFICIENT,1,1,16,0.436623
EFFICIENT,0,16,4,1.99506
EFFICIENT,1,4,16,0.420043
EFFICIENT,0,16,16,1.20637
EFFICIENT,1,16,16,0.399888
EFFICIENT,0,16,64,1.19133
EFFICIENT,1,64,16,0.388139
EFFICIENT,0,16,256,1.44722
EFFICIENT,1,256,16,0.576275
EFFICIENT,0,16,1024,5.78462
EFFICIENT,1,1024,16,3.40329
EFFICIENT,0,32,1,3.29844
EFFICIENT,1,1,32,0.421545
EFFICIENT,0,32,4,1.35469
EFFICIENT,1,4,32,0.392636
EFFICIENT,0,32,16,1.22348
EFFICIENT,1,16,32,0.367503
EFFICIENT,0,32,64,4.39198
EFFICIENT,1,64,32,0.36249
EFFICIENT,0,32,256,4.89125
EFFICIENT,1,256,32,0.47417
EFFICIENT,0,32,1024,6.72196
EFFICIENT,1,1024,32,1.94714
EFFICIENT,0,64,1,2.99925
EFFICIENT,1,1,64,0.411073
EFFICIENT,0,64,4,1.43402
EFFICIENT,1,4,64,0.36609
EFFICIENT,0,64,16,1.51185
EFFICIENT,1,16,64,0.353773
EFFICIENT,0,64,64,5.65509
EFFICIENT,1,64,64,0.354712
EFFICIENT,0,64,256,6.58087
EFFICIENT,1,256,64,0.415665
EFFICIENT,0,64,1024,7.31428
EFFICIENT,1,1024,64,1.18888
EFFICIENT,0,128,1,2.97645
EFFICIENT,1,1,128,0.384854
EFFICIENT,0,128,4,1.62614
EFFICIENT,1,4,128,0.345325
EFFICIENT,0,128,16,1.58856
EFFICIENT,1,16,128,0.344308
EFFICIENT,0,128,64,6.8202
EFFICIENT,1,64,128,0.348451
EFFICIENT,0,128,256,6.66444
EFFICIENT,1,256,128,0.388229
EFFICIENT,0,128,1024,7.61025
EFFICIENT,1,1024,128,0.829364
EFFICIENT,0,256,1,2.99915
EFFICIENT,1,1,256,0.356763
EFFICIENT,0,256,4,1.57505
EFFICIENT,1,4,256,0.333366
EFFICIENT,0,256,16,1.70658
EFFICIENT,1,16,256,0.341615
EFFICIENT,0,256,64,6.96175
EFFICIENT,1,64,256,0.345598
EFFICIENT,0,256,256,7.11804
EFFICIENT,1,256,256,0.370463
EFFICIENT,0,256,1024,7.46235
EFFICIENT,1,1024,256,0.649152
EFFICIENT,0,512,1,2.9991
EFFICIENT,1,1,512,0.334178
EFFICIENT,0,512,4,1.60362
EFFICIENT,1,4,512,0.333532
EFFICIENT,0,512,16,1.73789
EFFICIENT,1,16,512,0.343847
EFFICIENT,0,512,64,7.09994
EFFICIENT,1,64,512,0.348015
EFFICIENT,0,512,256,7.21968
EFFICIENT,1,256,512,0.361391
EFFICIENT,0,512,1024,7.72617
EFFICIENT,1,1024,512,0.556797
EFFICIENT,0,1024,1,3.02846
EFFICIENT,1,1,1024,0.327371
EFFICIENT,0,1024,4,1.60957
EFFICIENT,1,4,1024,0.329753
EFFICIENT,0,1024,16,1.7432
EFFICIENT,1,16,1024,0.348694
EFFICIENT,0,1024,64,3.33122
EFFICIENT,1,64,1024,0.35853
EFFICIENT,0,1024,256,3.26634
EFFICIENT,1,256,1024,0.356881
EFFICIENT,0,1024,1024,4.07945
EFFICIENT,1,1024,1024,0.458593
